"угорь";"der Aal, -e"
"кровь угря";"das Aalblut, -e"
"развитие угря";"die Aalentwicklung, -en"
"корзины для угрей";"die Aalkörbe, -"
"порода угря";"die Aalrasse, -n"
"ловушки для угрей";"die Aalreusen, -"
"усач";"die Barbe, -n"
"область усача";"die Barbenregion, -en"
"окунь";"der Barsch, -e"
"окунеобразные";"die Barschartige, -n"
"окуни";"die Barsche, -"
"голавль";"der Döbel, -"
"сиг";"der Felchen, -"
"рыба";"der Fisch, -e"
"скопа";"der Fischadler, -"
"вид рыбы";"die Fischart, -en"
"рыбий глаз";"das Fischauge, -n"
"резервуар для рыбы";"der Fischbehälter, -"
"зарыбление";"der Fischbesatz, -"
"популяция рыб";"der Fischbestand, -"
"устройство для оглушения рыбы";"der Fischbetäuber, -"
"биология рыб";"die Fischbiologie, -n"
"кровь рыбы";"das Fischblut, -e"
"рыбная молодь";"die Fischbrut, -en"
"рыбья пиявка";"der Fischegel, -"
"икра";"das Fischeier, -"
"рыбьи внутренности";"das Fischeingeweide, -"
"рыбак";"der Fischer, -"
"рыболовство";"die Fischerei, -en"
"сбор за рыболовство";"die Fischereiabgabe, -n"
"инспектор рыболовства";"der Fischereiaufseher, -"
"надзор за рыболовством";"die Fischereiaufsicht, -en"
"лицо, занимающееся рыболовством";"der Fischereiausübender, -"
"занятие рыболовством";"die Fischereiausübung, -en"
"имеющий право заниматься рыболовством";"der Fischereiausübungsberechtigt, -en"
"право на занятие рыболовством";"das Fischereiausübungsrecht, -e"
"лицо, имеющее право на рыболовство";"der Fischereiberechtigte, -n"
"рыболовное хозяйство";"der Fischereibetrieb, -e"
"разрешение на рыбалку";"die Fischereierlaubnis, -se"
"удостоверение на право рыбной ловли";"der Fischereierlaubnisschein, -e"
"закон о рыболовстве";"das Fischereigesetz, -e"
"контроль за рыболовством";"die Fischereikontrolle, -n"
"организация рыболовства";"die Fischereiorganisation, -en"
"аренда рыболовного хозяйства";"die Fischereipacht, -en"
"арендатор рыболовного хозяйства";"der Fischereipächter, -"
"договор аренды рыболовного хозяйства";"der Fischereipachtvertrag, -"
"право на рыболовство";"das Fischereirecht, -e"
"ущерб от рыболовства";"der Fischereischaden, -"
"удостоверение рыболова";"der Fischereischein, -e"
"владелец удостоверения рыболова";"der Fischereischeininhaber, -"
"обязанность иметь удостоверение рыболова";"die Fischereischeinpflicht, -en"
"рыболовное общество";"der Fischereiverein, -e"
"рыболовство";"das Fischereiwesen, -"
"хижина рыбака";"die Fischerhütte, -n"
"экзамен по рыболовству";"die Fischerprüfung, -en"
"язык рыбаков";"die Fischersprache, -n"
"улов рыбы";"der Fischertrag, -"
"семейство рыб";"die Fischfamilie, -n"
"улов рыбы";"der Fischfang, -"
"метод ловли рыбы";"die Fischfangmethode, -n"
"рыбная фауна";"die Fischfauna, -"
"враг рыбы";"der Fischfeind, -e"
"филе рыбы";"das Fischfilet, -s"
"корм для рыб";"das Fischfutter, -"
"вилка для рыбы";"die Fischgabel, -n"
"мозг рыбы";"das Fischgehirn, -e"
"служба охраны здоровья рыб";"der Fischgesundheitsdienst, -e"
"захват для рыбы";"der Fischgreifer, -"
"кожа рыбы";"die Fischhaut, -"
"имитация рыбы";"die Fischimitation, -en"
"жабры рыбы";"die Fischkieme, -n"
"тело рыбы";"der Fischkörper, -"
"болезнь рыб";"die Fischkrankheit, -en"
"икра рыбы";"der Fischlaich, -e"
"рыбья вошь";"die Fischlaus, -"
"пища для рыб";"das Fischnährtier, -e"
"пища для рыб";"die Fischnahrung, -"
"бедствие для рыб";"die Fischnotstand, -"
"выдра";"der Fischotter, -"
"паразит рыб";"der Fischparasit, -en"
"рыбоход";"der Fischpass, -"
"рыбья оспа";"die Fischpocken, -"
"хищник, питающийся рыбой";"der Fischprädator, -en"
"область распространения рыбы";"die Fischregion, -en"
"заповедник для рыб";"der Fischschonbezirk, -e"
"рыбья чешуя";"die Fischschuppe, -n"
"скребок для чистки рыбы";"der Fischschupper, -"
"косяк рыбы";"der Fischschwarm, -"
"мор рыбы";"das Fischsterben, -"
"пруд для рыбы";"der Fischteich, -e"
"лестница для рыбы";"die Fischtreppe, -n"
"потеря рыбы";"der Fischverlust, -e"
"весы для рыбы";"die Fischwaage, -n"
"справедливость в отношении рыбы";"die Fischwaidgerechtigkeit, -en"
"миграция рыб";"die Fischwanderung, -en"
"водоем для рыбы";"das Fischwasser, -"
"участок водоема для рыбы";"die Fischwasserstrecke, -n"
"браконьерство на рыбу";"die Fischwilderei, -en"
"форель";"die Forelle, -n"
"форелеобразные";"die Forellenartig, -en"
"форелевый ручей";"der Forellenbach, -"
"форелевый окунь";"der Forellenbarsch, -e"
"зарыбление форелью";"der Forellenbesatz, -"
"ловля форели";"der Forellenfang, -"
"ловля форели";"das Forellenfischen, -"
"область распространения форели";"die Forellenregion, -en"
"щука";"der Hecht, -e"
"ленточный червь щуки";"der Hechtbandwurm, -"
"щучья молодь";"die Hechtbrut, -en"
"ловля щуки";"der Hechtfang, -"
"или щука";"das Hechtoder, -"
"таймень";"der Huchen, -"
"карп";"der Karpfen, -"
"ловля карпа";"der Karpfenfang, -"
"ловля карпа";"das Karpfenfischen, -"
"карповая вошь";"die Karpfenlaus, -"
"карповый пруд";"der Karpfenteich, -e"
"лосось";"der Lachs, -e"
"лососеобразные";"die Lachsartige, -n"
"верховка";"das Moderlieschen, -"
"минога";"die Neunauge, -n"
"косичка из миног";"der Neunaugenzopf, -"
"налим";"die Quappe, -n"
"красноперка";"die Rotauge, -n"
"голец";"der Saibling, -e"
"линь";"die Schleie, -n"
"снеток";"der Schneider, -"
"сом";"der Wels, -e"
"ловля сома на удочку";"das Welsangeln, -"
"ловля сома";"der Welsfang, -"
"захват для сома";"der Welsgriff, -e"
"судак";"der Zander, -"
